CODE_TYPE_EVENT;EVENT_NAME;ALERT_FLAG;CLOSE_FLAG;OPEN_FLAG;FAILURE_FLAG;REPAIR_FLAG;OTHER_FLAG;TEST_FLAG;INFO_SFLAG;WARNING_SFLAG;ERROR_SFLAG;REPAIR_SFLAG;CRIT_ERROR_SFLAG;DELETED
100;Медицинская тревога;1;0;0;0;0;0;0;0;0;0;0;0;0
101;Персональный вызов медицинской помощи;1;0;0;0;0;0;0;0;0;0;0;0;0
102;Нет медицинского сообщения;1;0;0;0;0;0;0;0;0;0;0;0;0
110;Пожарная тревога;1;0;0;0;0;0;0;0;0;0;0;0;
111;Задымление;1;0;0;0;0;0;0;0;0;0;0;0;
112;Возгорание;1;0;0;0;0;0;0;0;0;0;0;0;
113;Пролив воды;1;0;0;0;0;0;0;0;0;0;0;0;
114;Пожарная тревога (перегрев);1;0;0;0;0;0;0;0;0;0;0;0;
115;Пожарная кнопка;1;0;0;0;0;0;0;0;0;0;0;0;0
116;Тревога в трубопроводе;1;0;0;0;0;0;0;0;0;0;0;0;0
117;Пламя;1;0;0;0;0;0;0;0;0;0;0;0;
118;Внимание - опасность пожара;1;0;0;0;0;0;0;0;0;0;0;0;
120;Нападение;1;0;0;0;0;0;0;0;0;0;0;0;
121;Принуждение;1;0;0;0;0;0;0;0;0;0;0;0;
122;Тихий экстренный вызов;1;0;0;0;0;0;0;0;0;0;0;0;
123;Громкий экстренный вызов;1;0;0;0;0;0;0;0;0;0;0;0;
124;Принуждение - вход предоставлен;1;0;0;0;0;0;0;0;0;0;0;0;
125;Принуждение - выход предоставлен;1;0;0;0;0;0;0;0;0;0;0;0;
126;Тревога от группы реагирования;1;0;0;0;0;0;0;0;0;0;0;0;
130;Тревога в зоне охраны;1;0;0;0;0;0;0;0;0;0;0;0;
131;Тревога по периметру;1;0;0;0;0;0;0;0;0;0;0;0;
132;Внутренняя тревога;1;0;0;0;0;0;0;0;0;0;0;0;
133;Тревога 24-часовой зоны;1;0;0;0;0;0;0;0;0;0;0;0;
134;Тревога на входе/выходе;1;0;0;0;0;0;0;0;0;0;0;0;
135;Дневная/ночная тревога;1;0;0;0;0;0;0;0;0;0;0;0;
136;Тревога снаружи;1;0;0;0;0;0;0;0;0;0;0;0;
137;Вскрытие устройства;1;0;0;0;0;0;0;0;0;0;0;0;
138;Внимание - возможна тревога;0;0;0;0;0;1;0;0;0;0;0;0;
139;Вторжение;1;0;0;0;0;0;0;0;0;0;0;0;
140;Общая тревога;1;0;0;0;0;0;0;0;0;0;0;0;
146;Тихое проникновение;1;0;0;0;0;0;0;0;0;0;0;0;
147;Ошибка контроля извещателя;0;0;0;1;0;0;0;0;0;0;0;0;
150;Тревога дополнительной зоны;1;0;0;0;0;0;0;0;0;0;0;0;
151;Утечка газа;1;0;0;0;0;0;0;0;0;0;0;0;
